Nr.,Jahr,unter … Jahren,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Insgesamt
1,2022,Insgesamt *., 44 717 , 40 847 , 46 280 ,,,,,,,,,,
2,2022,0-15 *.,  134 ,  136 ,  142 ,,,,,,,,,,
3,2022,15-30 *.,  230 ,  204 ,  246 ,,,,,,,,,,
4,2022,30-35 *.,  148 ,  125 ,  143 ,,,,,,,,,,
5,2022,35-40 *.,  242 ,  237 ,  211 ,,,,,,,,,,
6,2022,40-45 *.,  355 ,  329 ,  326 ,,,,,,,,,,
7,2022,45-50 *.,  533 ,  447 ,  525 ,,,,,,,,,,
8,2022,50-55 *., 1 193 ,  961 , 1 103 ,,,,,,,,,,
9,2022,55-60 *., 2 064 , 1 848 , 1 999 ,,,,,,,,,,
10,2022,60-65 *., 3 182 , 2 669 , 2 954 ,,,,,,,,,,
11,2022,65-70 *., 3 911 , 3 451 , 3 931 ,,,,,,,,,,
12,2022,70-75 *., 4 781 , 4 318 , 4 900 ,,,,,,,,,,
13,2022,75-80 *., 5 555 , 4 876 , 5 566 ,,,,,,,,,,
14,2022,80-85 *., 9 125 , 8 515 , 9 648 ,,,,,,,,,,
15,2022,85-90 *., 7 693 , 7 333 , 8 307 ,,,,,,,,,,
16,2022,90-95 *., 4 311 , 4 138 , 4 856 ,,,,,,,,,,
17,2022,95 u. mehr *., 1 260 , 1 260 , 1 423 ,,,,,,,,,,
18,2021,Insgesamt *., 53 021 , 41 358 , 41 243 , 41 809 , 41 357 , 38 917 , 38 505 , 38 033 , 39 003 , 42 608 , 47 114 , 51 604 , 514 572 
19,2021,0-15 *.,  172 ,  116 ,  153 ,  143 ,  172 ,  163 ,  163 ,  158 ,  159 ,  192 ,  157 ,  135 , 1 883 
20,2021,15-30 *.,  197 ,  189 ,  216 ,  234 ,  239 ,  287 ,  272 ,  221 ,  240 ,  266 ,  219 ,  244 , 2 824 
21,2021,30-35 *.,  162 ,  126 ,  159 ,  155 ,  136 ,  145 ,  163 ,  152 ,  144 ,  154 ,  139 ,  155 , 1 790 
22,2021,35-40 *.,  210 ,  183 ,  241 ,  233 ,  250 ,  250 ,  205 ,  254 ,  269 ,  252 ,  209 ,  275 , 2 831 
23,2021,40-45 *.,  349 ,  331 ,  355 ,  341 ,  361 ,  336 ,  297 ,  317 ,  308 ,  345 ,  349 ,  401 , 4 090 
24,2021,45-50 *.,  586 ,  505 ,  532 ,  531 ,  572 ,  516 ,  545 ,  506 ,  549 ,  537 ,  552 ,  606 , 6 537 
25,2021,50-55 *., 1 290 , 1 115 , 1 141 , 1 254 , 1 172 , 1 091 , 1 044 , 1 046 , 1 052 , 1 129 , 1 175 , 1 326 , 13 835 
26,2021,55-60 *., 2 287 , 1 900 , 2 039 , 2 215 , 2 188 , 2 078 , 1 960 , 1 983 , 1 905 , 2 081 , 2 116 , 2 373 , 25 125 
27,2021,60-65 *., 3 255 , 2 902 , 2 842 , 2 981 , 3 038 , 2 848 , 2 809 , 2 712 , 2 754 , 3 002 , 3 177 , 3 598 , 35 918 
28,2021,65-70 *., 4 330 , 3 656 , 3 713 , 3 857 , 3 865 , 3 574 , 3 553 , 3 419 , 3 434 , 3 717 , 4 034 , 4 591 , 45 743 
29,2021,70-75 *., 5 256 , 4 205 , 4 377 , 4 591 , 4 585 , 4 086 , 4 214 , 4 029 , 4 081 , 4 493 , 4 938 , 5 492 , 54 347 
30,2021,75-80 *., 7 065 , 5 634 , 5 560 , 5 620 , 5 349 , 4 957 , 4 859 , 4 806 , 4 819 , 5 097 , 5 719 , 6 213 , 65 698 
31,2021,80-85 *., 11 472 , 8 579 , 8 429 , 8 305 , 8 164 , 7 907 , 7 761 , 7 496 , 7 916 , 8 760 , 9 948 , 10 672 , 105 409 
32,2021,85-90 *., 9 224 , 6 766 , 6 733 , 6 542 , 6 526 , 6 127 , 6 163 , 6 240 , 6 535 , 7 196 , 8 332 , 8 964 , 85 348 
33,2021,90-95 *., 5 659 , 4 099 , 3 775 , 3 802 , 3 659 , 3 611 , 3 458 , 3 630 , 3 820 , 4 227 , 4 750 , 5 099 , 49 589 
34,2021,95 u. mehr *., 1 507 , 1 052 ,  978 , 1 005 , 1 081 ,  941 , 1 039 , 1 064 , 1 018 , 1 160 , 1 300 , 1 460 , 13 605 
35,2020,Insgesamt *., 42 332 , 39 776 , 43 628 , 42 048 , 38 006 , 36 311 , 37 083 , 38 960 , 36 926 , 40 147 , 43 342 , 54 238 , 492 797 
36,2020,0-15 *.,  152 ,  144 ,  171 ,  155 ,  154 ,  143 ,  156 ,  165 ,  154 ,  136 ,  117 ,  150 , 1 797 
37,2020,15-30 *.,  232 ,  238 ,  222 ,  214 ,  219 ,  242 ,  248 ,  254 ,  211 ,  223 ,  218 ,  213 , 2 734 
38,2020,30-35 *.,  176 ,  129 ,  144 ,  148 ,  136 ,  149 ,  161 ,  133 ,  142 ,  140 ,  137 ,  158 , 1 753 
39,2020,35-40 *.,  232 ,  220 ,  234 ,  217 ,  230 ,  199 ,  229 ,  215 ,  222 ,  213 ,  219 ,  274 , 2 704 
40,2020,40-45 *.,  308 ,  314 ,  322 ,  324 ,  328 ,  306 ,  288 ,  334 ,  294 ,  318 ,  303 ,  358 , 3 797 
41,2020,45-50 *.,  525 ,  533 ,  550 ,  539 ,  505 ,  523 ,  500 ,  525 ,  479 ,  489 ,  488 ,  523 , 6 179 
42,2020,50-55 *., 1 228 , 1 070 , 1 218 , 1 155 , 1 148 , 1 058 , 1 113 , 1 063 , 1 072 , 1 076 , 1 141 , 1 204 , 13 546 
43,2020,55-60 *., 2 065 , 1 961 , 2 044 , 1 966 , 1 986 , 1 855 , 1 925 , 1 978 , 1 838 , 2 017 , 1 983 , 2 278 , 23 896 
44,2020,60-65 *., 2 875 , 2 666 , 2 934 , 2 796 , 2 700 , 2 570 , 2 709 , 2 635 , 2 529 , 2 735 , 2 831 , 3 195 , 33 175 
45,2020,65-70 *., 3 709 , 3 493 , 3 898 , 3 614 , 3 416 , 3 331 , 3 399 , 3 493 , 3 335 , 3 510 , 3 703 , 4 252 , 43 153 
46,2020,70-75 *., 4 070 , 3 759 , 4 176 , 4 064 , 3 732 , 3 575 , 3 562 , 3 799 , 3 664 , 4 073 , 4 232 , 5 258 , 47 964 
47,2020,75-80 *., 6 351 , 5 904 , 6 535 , 6 277 , 5 392 , 5 188 , 5 337 , 5 465 , 5 282 , 5 523 , 5 917 , 7 502 , 70 673 
48,2020,80-85 *., 8 532 , 8 070 , 8 903 , 8 725 , 7 727 , 7 208 , 7 381 , 7 949 , 7 484 , 8 219 , 9 069 , 11 653 , 100 920 
49,2020,85-90 *., 6 795 , 6 381 , 7 036 , 6 798 , 5 940 , 5 710 , 5 729 , 6 304 , 5 961 , 6 514 , 7 531 , 9 732 , 80 431 
50,2020,90-95 *., 4 102 , 3 906 , 4 158 , 4 005 , 3 451 , 3 375 , 3 484 , 3 711 , 3 366 , 3 930 , 4 254 , 5 956 , 47 698 
51,2020,95 u. mehr *.,  980 ,  988 , 1 083 , 1 051 ,  942 ,  879 ,  862 ,  937 ,  893 , 1 031 , 1 199 , 1 532 , 12 377 
52,2019,Insgesamt *., 42 107 , 39 978 , 42 430 , 38 469 , 37 823 , 36 921 , 38 068 , 36 342 , 35 114 , 38 319 , 38 900 , 41 414 , 465 885 
53,2019,0-15 *.,  193 ,  174 ,  181 ,  166 ,  152 ,  170 ,  159 ,  172 ,  143 ,  153 ,  169 ,  170 , 2 002 
54,2019,15-30 *.,  238 ,  230 ,  228 ,  213 ,  230 ,  260 ,  267 ,  270 ,  212 ,  229 ,  238 ,  210 , 2 825 
55,2019,30-35 *.,  166 ,  126 ,  149 ,  166 ,  147 ,  144 ,  155 ,  136 ,  143 ,  152 ,  137 ,  132 , 1 753 
56,2019,35-40 *.,  185 ,  207 ,  217 ,  185 ,  200 ,  206 ,  210 ,  227 ,  208 ,  215 ,  194 ,  237 , 2 491 
57,2019,40-45 *.,  315 ,  291 ,  338 ,  276 ,  287 ,  334 ,  293 ,  298 ,  291 ,  266 ,  309 ,  271 , 3 569 
58,2019,45-50 *.,  599 ,  555 ,  585 ,  542 ,  537 ,  555 ,  548 ,  519 ,  514 ,  553 ,  527 ,  520 , 6 554 
59,2019,50-55 *., 1 296 , 1 179 , 1 295 , 1 133 , 1 082 , 1 118 , 1 100 , 1 124 , 1 075 , 1 077 , 1 047 , 1 145 , 13 671 
60,2019,55-60 *., 2 068 , 1 920 , 2 045 , 1 903 , 1 884 , 1 910 , 1 906 , 1 826 , 1 781 , 1 878 , 1 927 , 1 969 , 23 017 
61,2019,60-65 *., 2 928 , 2 572 , 2 877 , 2 569 , 2 576 , 2 585 , 2 677 , 2 497 , 2 425 , 2 618 , 2 617 , 2 711 , 31 652 
62,2019,65-70 *., 3 712 , 3 534 , 3 640 , 3 409 , 3 489 , 3 288 , 3 486 , 3 394 , 3 188 , 3 408 , 3 400 , 3 582 , 41 530 
63,2019,70-75 *., 3 949 , 3 905 , 3 991 , 3 701 , 3 637 , 3 553 , 3 747 , 3 531 , 3 330 , 3 726 , 3 747 , 3 953 , 44 770 
64,2019,75-80 *., 6 733 , 6 468 , 6 926 , 6 212 , 6 257 , 5 961 , 5 880 , 5 647 , 5 508 , 6 013 , 5 997 , 6 422 , 74 024 
