Nr.,Jahr,unter … Jahren,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Insgesamt
1,2022,Insgesamt *., 44 130 , 40 994 , 46 176 ,,,,,,,,,,
2,2022,0-15 *.,  126 ,  124 ,  123 ,,,,,,,,,,
3,2022,15-30 *.,  107 ,  88 ,  106 ,,,,,,,,,,
4,2022,30-35 *.,  83 ,  66 ,  78 ,,,,,,,,,,
5,2022,35-40 *.,  114 ,  110 ,  124 ,,,,,,,,,,
6,2022,40-45 *.,  182 ,  175 ,  172 ,,,,,,,,,,
7,2022,45-50 *.,  254 ,  245 ,  272 ,,,,,,,,,,
8,2022,50-55 *.,  593 ,  556 ,  580 ,,,,,,,,,,
9,2022,55-60 *., 1 105 , 1 037 , 1 019 ,,,,,,,,,,
10,2022,60-65 *., 1 750 , 1 469 , 1 624 ,,,,,,,,,,
11,2022,65-70 *., 2 221 , 2 093 , 2 255 ,,,,,,,,,,
12,2022,70-75 *., 3 004 , 2 671 , 3 058 ,,,,,,,,,,
13,2022,75-80 *., 4 153 , 3 731 , 4 122 ,,,,,,,,,,
14,2022,80-85 *., 8 497 , 7 876 , 8 789 ,,,,,,,,,,
15,2022,85-90 *., 9 665 , 8 865 , 10 234 ,,,,,,,,,,
16,2022,90-95 *., 8 033 , 7 745 , 8 984 ,,,,,,,,,,
17,2022,95 u. mehr *., 4 243 , 4 143 , 4 636 ,,,,,,,,,,
18,2021,Insgesamt *., 53 558 , 40 732 , 40 558 , 39 908 , 39 461 , 37 814 , 38 108 , 38 307 , 38 771 , 42 269 , 46 447 , 50 925 , 506 858 
19,2021,0-15 *.,  124 ,  106 ,  137 ,  117 ,  138 ,  140 ,  127 ,  150 ,  140 ,  127 ,  149 ,  152 , 1 607 
20,2021,15-30 *.,  94 ,  87 ,  79 ,  99 ,  89 ,  100 ,  90 ,  91 ,  103 ,  96 ,  100 ,  99 , 1 127 
21,2021,30-35 *.,  74 ,  58 ,  84 ,  75 ,  80 ,  60 ,  79 ,  77 ,  97 ,  84 ,  74 ,  80 ,  922 
22,2021,35-40 *.,  118 ,  115 ,  124 ,  107 ,  142 ,  110 ,  100 ,  102 ,  117 ,  130 ,  105 ,  125 , 1 395 
23,2021,40-45 *.,  178 ,  143 ,  171 ,  184 ,  186 ,  165 ,  183 ,  174 ,  171 ,  171 ,  220 ,  211 , 2 157 
24,2021,45-50 *.,  314 ,  267 ,  335 ,  294 ,  297 ,  275 ,  295 ,  283 ,  238 ,  271 ,  305 ,  298 , 3 472 
25,2021,50-55 *.,  677 ,  588 ,  625 ,  621 ,  628 ,  561 ,  587 ,  600 ,  598 ,  595 ,  631 ,  644 , 7 355 
26,2021,55-60 *., 1 181 , 1 008 , 1 074 , 1 086 , 1 045 , 1 013 , 1 092 , 1 013 , 1 029 , 1 147 , 1 157 , 1 227 , 13 072 
27,2021,60-65 *., 1 734 , 1 391 , 1 540 , 1 532 , 1 562 , 1 472 , 1 487 , 1 508 , 1 508 , 1 529 , 1 701 , 1 822 , 18 786 
28,2021,65-70 *., 2 446 , 1 997 , 2 127 , 2 211 , 2 151 , 1 998 , 2 002 , 1 995 , 2 035 , 2 208 , 2 300 , 2 560 , 26 030 
