areaName,date,age,deaths,cases
England,2022-05-12,00_04,0,83
England,2022-05-12,00_59,6,4538
England,2022-05-12,05_09,0,105
England,2022-05-12,10_14,0,162
England,2022-05-12,15_19,0,205
England,2022-05-12,20_24,0,419
England,2022-05-12,25_29,0,460
England,2022-05-12,30_34,0,558
England,2022-05-12,35_39,0,510
England,2022-05-12,40_44,0,464
England,2022-05-12,45_49,1,511
England,2022-05-12,50_54,2,528
England,2022-05-12,55_59,3,533
England,2022-05-12,60+,74,1745
England,2022-05-12,60_64,2,483
England,2022-05-12,65_69,2,373
England,2022-05-12,70_74,10,340
England,2022-05-12,75_79,13,216
England,2022-05-12,80_84,14,128
England,2022-05-12,85_89,13,117
England,2022-05-12,90+,20,88
England,2022-05-11,00_04,0,4
England,2022-05-11,00_59,7,92
England,2022-05-11,05_09,0,5283
England,2022-05-11,10_14,0,127
England,2022-05-11,15_19,0,186
England,2022-05-11,20_24,0,274
England,2022-05-11,25_29,1,474
England,2022-05-11,30_34,0,583
England,2022-05-11,35_39,0,658
England,2022-05-11,40_44,0,630
England,2022-05-11,45_49,1,578
England,2022-05-11,50_54,3,496
England,2022-05-11,55_59,2,586
England,2022-05-11,60+,71,599
England,2022-05-11,60_64,4,1875
England,2022-05-11,65_69,4,535
England,2022-05-11,70_74,10,362
England,2022-05-11,75_79,4,364
England,2022-05-11,80_84,11,247
England,2022-05-11,85_89,16,135
England,2022-05-11,90+,22,131
England,2022-05-10,00_04,0,101
England,2022-05-10,00_59,6,3
England,2022-05-10,05_09,0,110
England,2022-05-10,10_14,0,5888
England,2022-05-10,15_19,1,156
England,2022-05-10,20_24,0,206
England,2022-05-10,25_29,0,302
England,2022-05-10,30_34,1,564
England,2022-05-10,35_39,0,635
England,2022-05-10,40_44,0,700
England,2022-05-10,45_49,2,717
England,2022-05-10,50_54,1,613
England,2022-05-10,55_59,1,582
England,2022-05-10,60+,88,655
England,2022-05-10,60_64,3,648
England,2022-05-10,65_69,8,2169
England,2022-05-10,70_74,9,587
England,2022-05-10,75_79,7,464
England,2022-05-10,80_84,19,420
England,2022-05-10,85_89,18,263
England,2022-05-10,90+,24,166
England,2022-05-09,00_04,0,141
England,2022-05-09,00_59,6,128
England,2022-05-09,05_09,0,2
England,2022-05-09,10_14,0,124
England,2022-05-09,15_19,0,6571
England,2022-05-09,20_24,0,208
England,2022-05-09,25_29,0,249
England,2022-05-09,30_34,1,280
England,2022-05-09,35_39,0,601
England,2022-05-09,40_44,0,710
England,2022-05-09,45_49,0,779
England,2022-05-09,50_54,2,721
England,2022-05-09,55_59,3,725
England,2022-05-09,60+,90,656
England,2022-05-09,60_64,2,770
England,2022-05-09,65_69,10,748
England,2022-05-09,70_74,9,2256
England,2022-05-09,75_79,14,638
England,2022-05-09,80_84,15,440
England,2022-05-09,85_89,21,415
England,2022-05-09,90+,19,284
England,2022-05-08,00_04,0,196
England,2022-05-08,00_59,2,140
England,2022-05-08,05_09,0,143
England,2022-05-08,10_14,0,4
England,2022-05-08,15_19,0,116
England,2022-05-08,20_24,0,5739
England,2022-05-08,25_29,0,169
England,2022-05-08,30_34,0,240
England,2022-05-08,35_39,0,313
England,2022-05-08,40_44,1,496
England,2022-05-08,45_49,0,554
England,2022-05-08,50_54,0,685
England,2022-05-08,55_59,1,665
England,2022-05-08,60+,94,567
England,2022-05-08,60_64,7,588
England,2022-05-08,65_69,1,667
England,2022-05-08,70_74,12,679
England,2022-05-08,75_79,16,1889
England,2022-05-08,80_84,15,549
England,2022-05-08,85_89,17,427
England,2022-05-08,90+,26,357
England,2022-05-07,00_04,0,217
England,2022-05-07,00_59,4,132
England,2022-05-07,05_09,0,124
England,2022-05-07,10_14,0,83
England,2022-05-07,15_19,0,4
England,2022-05-07,20_24,0,109
England,2022-05-07,25_29,0,4473
England,2022-05-07,30_34,0,151
England,2022-05-07,35_39,0,148
England,2022-05-07,40_44,1,223
England,2022-05-07,45_49,2,352
England,2022-05-07,50_54,0,442
England,2022-05-07,55_59,1,497
England,2022-05-07,60+,111,534
England,2022-05-07,60_64,1,489
England,2022-05-07,65_69,7,502
England,2022-05-07,70_74,9,507
England,2022-05-07,75_79,23,519
England,2022-05-07,80_84,15,1870
England,2022-05-07,85_89,27,501
England,2022-05-07,90+,29,383
England,2022-05-06,00_04,0,361
England,2022-05-06,00_59,7,238
England,2022-05-06,05_09,0,152
England,2022-05-06,10_14,0,129
England,2022-05-06,15_19,0,106
England,2022-05-06,20_24,0,2
England,2022-05-06,25_29,2,111
England,2022-05-06,30_34,0,5265
England,2022-05-06,35_39,0,130
England,2022-05-06,40_44,0,175
England,2022-05-06,45_49,0,262
England,2022-05-06,50_54,2,440
England,2022-05-06,55_59,3,508
England,2022-05-06,60+,101,647
England,2022-05-06,60_64,0,616
England,2022-05-06,65_69,5,561
England,2022-05-06,70_74,9,576
England,2022-05-06,75_79,12,598
England,2022-05-06,80_84,23,641
England,2022-05-06,85_89,19,2194
England,2022-05-06,90+,33,561
England,2022-05-05,00_04,0,479
England,2022-05-05,00_59,7,420
England,2022-05-05,05_09,0,280
England,2022-05-05,10_14,0,199
England,2022-05-05,15_19,0,150
England,2022-05-05,20_24,0,105
England,2022-05-05,25_29,1,26
England,2022-05-05,30_34,0,121
England,2022-05-05,35_39,1,6261
England,2022-05-05,40_44,0,169
England,2022-05-05,45_49,0,170
England,2022-05-05,50_54,1,272
England,2022-05-05,55_59,4,499
England,2022-05-05,60+,106,693
England,2022-05-05,60_64,3,790
England,2022-05-05,65_69,4,749
England,2022-05-05,70_74,12,693
England,2022-05-05,75_79,14,656
England,2022-05-05,80_84,26,730
England,2022-05-05,85_89,19,719
England,2022-05-05,90+,28,2294
England,2022-05-04,00_04,0,579
England,2022-05-04,00_59,5,468
England,2022-05-04,05_09,0,466
England,2022-05-04,10_14,0,293
England,2022-05-04,15_19,0,204
England,2022-05-04,20_24,0,146
England,2022-05-04,25_29,0,138
England,2022-05-04,30_34,0,2
England,2022-05-04,35_39,0,146
England,2022-05-04,40_44,1,7092
England,2022-05-04,45_49,0,161
England,2022-05-04,50_54,2,228
England,2022-05-04,55_59,2,338
England,2022-05-04,60+,115,634
England,2022-05-04,60_64,3,743
England,2022-05-04,65_69,6,894
England,2022-05-04,70_74,15,826
England,2022-05-04,75_79,17,764
England,2022-05-04,80_84,25,738
England,2022-05-04,85_89,19,760
England,2022-05-04,90+,30,860
England,2022-05-03,00_04,0,2662
England,2022-05-03,00_59,11,662
England,2022-05-03,05_09,0,542
England,2022-05-03,10_14,1,500
England,2022-05-03,15_19,1,327
England,2022-05-03,20_24,1,262
England,2022-05-03,25_29,0,203
England,2022-05-03,30_34,1,166
England,2022-05-03,35_39,1,12
England,2022-05-03,40_44,1,146
England,2022-05-03,45_49,2,8179
England,2022-05-03,50_54,1,216
England,2022-05-03,55_59,2,285
England,2022-05-03,60+,108,390
England,2022-05-03,60_64,2,660
England,2022-05-03,65_69,12,885
England,2022-05-03,70_74,11,1037
England,2022-05-03,75_79,10,929
England,2022-05-03,80_84,14,932
England,2022-05-03,85_89,28,823
England,2022-05-03,90+,31,911
England,2022-05-02,00_04,0,965
England,2022-05-02,00_59,13,2933
England,2022-05-02,05_09,0,778
England,2022-05-02,10_14,0,583
England,2022-05-02,15_19,0,520
England,2022-05-02,20_24,1,363
England,2022-05-02,25_29,0,259
England,2022-05-02,30_34,0,221
England,2022-05-02,35_39,1,209
England,2022-05-02,40_44,1,13
England,2022-05-02,45_49,1,155
England,2022-05-02,50_54,7,7628
England,2022-05-02,55_59,2,250
England,2022-05-02,60+,121,293
England,2022-05-02,60_64,2,376
England,2022-05-02,65_69,4,633
England,2022-05-02,70_74,11,723
England,2022-05-02,75_79,20,915
England,2022-05-02,80_84,27,881
England,2022-05-02,85_89,31,802
England,2022-05-02,90+,26,847
England,2022-05-01,00_04,1,887
England,2022-05-01,00_59,14,866
England,2022-05-01,05_09,0,2685
England,2022-05-01,10_14,0,716
England,2022-05-01,15_19,0,572
England,2022-05-01,20_24,0,487
England,2022-05-01,25_29,0,347
England,2022-05-01,30_34,3,217
England,2022-05-01,35_39,0,200
England,2022-05-01,40_44,1,146
England,2022-05-01,45_49,5,4
England,2022-05-01,50_54,0,132
England,2022-05-01,55_59,4,5474
England,2022-05-01,60+,138,173
England,2022-05-01,60_64,3,191
England,2022-05-01,65_69,8,280
England,2022-05-01,70_74,15,429
England,2022-05-01,75_79,26,550
England,2022-05-01,80_84,24,662
England,2022-05-01,85_89,30,622
England,2022-05-01,90+,32,576
England,2022-04-30,00_04,0,600
England,2022-04-30,00_59,8,652
England,2022-04-30,05_09,0,607
England,2022-04-30,10_14,0,2230
England,2022-04-30,15_19,0,573
England,2022-04-30,20_24,0,467
England,2022-04-30,25_29,0,423
England,2022-04-30,30_34,0,277
England,2022-04-30,35_39,0,191
England,2022-04-30,40_44,0,155
England,2022-04-30,45_49,0,144
England,2022-04-30,50_54,5,3
England,2022-04-30,55_59,3,131
England,2022-04-30,60+,152,4643
England,2022-04-30,60_64,7,146
England,2022-04-30,65_69,11,181
England,2022-04-30,70_74,16,230
England,2022-04-30,75_79,18,355
England,2022-04-30,80_84,25,440
England,2022-04-30,85_89,37,523
England,2022-04-30,90+,38,499
England,2022-04-29,00_04,0,473
England,2022-04-29,00_59,7,508
England,2022-04-29,05_09,0,564
England,2022-04-29,10_14,0,593
England,2022-04-29,15_19,0,2219
England,2022-04-29,20_24,0,578
England,2022-04-29,25_29,0,485
England,2022-04-29,30_34,0,409
England,2022-04-29,35_39,0,274
England,2022-04-29,40_44,1,180
England,2022-04-29,45_49,1,154
England,2022-04-29,50_54,1,139
England,2022-04-29,55_59,4,0
England,2022-04-29,60+,142,139
England,2022-04-29,60_64,4,5446
England,2022-04-29,65_69,7,145
England,2022-04-29,70_74,14,173
England,2022-04-29,75_79,26,269
England,2022-04-29,80_84,30,421
England,2022-04-29,85_89,32,557
England,2022-04-29,90+,29,639
England,2022-04-28,00_04,0,585
England,2022-04-28,00_59,6,530
England,2022-04-28,05_09,0,592
England,2022-04-28,10_14,0,673
England,2022-04-28,15_19,0,723
England,2022-04-28,20_24,0,2519
England,2022-04-28,25_29,0,595
England,2022-04-28,30_34,0,483
England,2022-04-28,35_39,1,447
England,2022-04-28,40_44,0,332
England,2022-04-28,45_49,1,252
England,2022-04-28,50_54,2,202
England,2022-04-28,55_59,2,208
England,2022-04-28,60+,161,7
England,2022-04-28,60_64,6,128
England,2022-04-28,65_69,13,6276
England,2022-04-28,70_74,21,138
England,2022-04-28,75_79,24,216
England,2022-04-28,80_84,31,321
England,2022-04-28,85_89,30,522
England,2022-04-28,90+,36,634
England,2022-04-27,00_04,0,736
England,2022-04-27,00_59,7,707
England,2022-04-27,05_09,0,619
England,2022-04-27,10_14,0,632
England,2022-04-27,15_19,0,826
England,2022-04-27,20_24,0,797
England,2022-04-27,25_29,0,2749
England,2022-04-27,30_34,1,652
England,2022-04-27,35_39,1,559
England,2022-04-27,40_44,0,469
England,2022-04-27,45_49,0,365
England,2022-04-27,50_54,0,294
England,2022-04-27,55_59,5,209
England,2022-04-27,60+,153,201
England,2022-04-27,60_64,6,11
England,2022-04-27,65_69,15,136
