areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate
K02000001,United Kingdom,overview,2022-05-15,7099,36,,,
K02000001,United Kingdom,overview,2022-05-14,5680,48,,,
K02000001,United Kingdom,overview,2022-05-13,6691,60,,,
K02000001,United Kingdom,overview,2022-05-12,7533,86,,,
K02000001,United Kingdom,overview,2022-05-11,8617,86,6801,8001,21214
K02000001,United Kingdom,overview,2022-05-10,9648,106,7224,7909,20139
K02000001,United Kingdom,overview,2022-05-09,10655,102,5910,7601,18260
K02000001,United Kingdom,overview,2022-05-08,9030,103,10662,7490,8799
K02000001,United Kingdom,overview,2022-05-07,7506,132,24460,15741,20675
K02000001,United Kingdom,overview,2022-05-06,8913,117,9588,9434,19600
K02000001,United Kingdom,overview,2022-05-05,10186,133,8238,7997,20656
K02000001,United Kingdom,overview,2022-05-04,11656,130,9080,8684,23403
K02000001,United Kingdom,overview,2022-05-03,13284,139,7587,6536,16528
K02000001,United Kingdom,overview,2022-05-02,11881,154,5636,2693,4427
K02000001,United Kingdom,overview,2022-05-01,9022,171,12021,6142,7530
K02000001,United Kingdom,overview,2022-04-30,8352,176,27465,15009,18470
K02000001,United Kingdom,overview,2022-04-29,9992,176,11491,9533,19379
K02000001,United Kingdom,overview,2022-04-28,11586,183,11079,9624,22713
K02000001,United Kingdom,overview,2022-04-27,13037,187,9609,8324,23205
K02000001,United Kingdom,overview,2022-04-26,14551,181,9541,8424,19910
K02000001,United Kingdom,overview,2022-04-25,17104,185,8959,7976,16164
K02000001,United Kingdom,overview,2022-04-24,14713,178,15624,8241,10588
K02000001,United Kingdom,overview,2022-04-23,13203,200,31918,16861,20044
K02000001,United Kingdom,overview,2022-04-22,15689,216,15821,10316,16415
K02000001,United Kingdom,overview,2022-04-21,18442,208,17230,10706,18064
K02000001,United Kingdom,overview,2022-04-20,21429,238,14416,10974,18275
K02000001,United Kingdom,overview,2022-04-19,26260,204,15137,11105,16563
K02000001,United Kingdom,overview,2022-04-18,25178,248,6040,3541,4590
K02000001,United Kingdom,overview,2022-04-17,20134,252,4823,2643,2963
K02000001,United Kingdom,overview,2022-04-16,19912,254,18165,11301,11888
K02000001,United Kingdom,overview,2022-04-15,21605,249,11444,5516,6216
K02000001,United Kingdom,overview,2022-04-14,26627,271,22841,13397,19527
K02000001,United Kingdom,overview,2022-04-13,31654,288,19404,12621,19094
K02000001,United Kingdom,overview,2022-04-12,33732,282,17501,11541,17789
K02000001,United Kingdom,overview,2022-04-11,37346,258,15946,11969,17329
K02000001,United Kingdom,overview,2022-04-10,30926,282,15276,8900,10246
K02000001,United Kingdom,overview,2022-04-09,27869,263,25179,15933,18421
K02000001,United Kingdom,overview,2022-04-08,32958,301,12200,11673,17388
K02000001,United Kingdom,overview,2022-04-07,38661,291,11340,11097,16153
K02000001,United Kingdom,overview,2022-04-06,44713,271,12369,10590,16210
K02000001,United Kingdom,overview,2022-04-05,49066,270,11373,9877,14430
K02000001,United Kingdom,overview,2022-04-04,53754,252,11137,10355,14726
K02000001,United Kingdom,overview,2022-04-03,42181,263,7500,9079,9172
K02000001,United Kingdom,overview,2022-04-02,37593,279,10890,16918,17148
K02000001,United Kingdom,overview,2022-04-01,47478,255,4992,11708,15723
K02000001,United Kingdom,overview,2022-03-31,54781,262,5035,12548,16526
K02000001,United Kingdom,overview,2022-03-30,73664,245,5513,12584,16723
K02000001,United Kingdom,overview,2022-03-29,80138,245,4865,11424,15127
K02000001,United Kingdom,overview,2022-03-28,92901,229,4823,10970,14727
K02000001,United Kingdom,overview,2022-03-27,68325,228,7627,8042,7517
K02000001,United Kingdom,overview,2022-03-26,61460,219,10716,18803,17336
K02000001,United Kingdom,overview,2022-03-25,72439,226,5686,13326,18120
K02000001,United Kingdom,overview,2022-03-24,82903,214,5094,11725,16799
K02000001,United Kingdom,overview,2022-03-23,94177,207,0,4283,18010
K02000001,United Kingdom,overview,2022-03-22,99090,227,4631,11840,18111
K02000001,United Kingdom,overview,2022-03-21,109313,185,4505,12060,17415
K02000001,United Kingdom,overview,2022-03-20,81059,203,7006,9708,10873
K02000001,United Kingdom,overview,2022-03-19,67426,197,10237,19104,20493
K02000001,United Kingdom,overview,2022-03-18,75303,207,4343,14641,20152
K02000001,United Kingdom,overview,2022-03-17,82856,191,4201,14729,19817
K02000001,United Kingdom,overview,2022-03-16,91781,184,4009,14046,18812
K02000001,United Kingdom,overview,2022-03-15,93670,158,4262,14579,20333
K02000001,United Kingdom,overview,2022-03-14,99859,186,4763,16929,24595
K02000001,United Kingdom,overview,2022-03-13,75735,154,3851,10520,11771
K02000001,United Kingdom,overview,2022-03-12,62061,145,8047,19735,22605
