areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,2022-05-19,72
K02000001,United Kingdom,overview,2022-05-18,69
K02000001,United Kingdom,overview,2022-05-17,93
K02000001,United Kingdom,overview,2022-05-16,84
K02000001,United Kingdom,overview,2022-05-15,88
K02000001,United Kingdom,overview,2022-05-14,89
K02000001,United Kingdom,overview,2022-05-13,95
K02000001,United Kingdom,overview,2022-05-12,118
K02000001,United Kingdom,overview,2022-05-11,109
K02000001,United Kingdom,overview,2022-05-10,120
K02000001,United Kingdom,overview,2022-05-09,115
K02000001,United Kingdom,overview,2022-05-08,113
K02000001,United Kingdom,overview,2022-05-07,134
K02000001,United Kingdom,overview,2022-05-06,133
K02000001,United Kingdom,overview,2022-05-05,140
K02000001,United Kingdom,overview,2022-05-04,132
K02000001,United Kingdom,overview,2022-05-03,139
K02000001,United Kingdom,overview,2022-05-02,160
K02000001,United Kingdom,overview,2022-05-01,176
K02000001,United Kingdom,overview,2022-04-30,178
K02000001,United Kingdom,overview,2022-04-29,178
K02000001,United Kingdom,overview,2022-04-28,185
K02000001,United Kingdom,overview,2022-04-27,189
K02000001,United Kingdom,overview,2022-04-26,182
K02000001,United Kingdom,overview,2022-04-25,184
K02000001,United Kingdom,overview,2022-04-24,177
K02000001,United Kingdom,overview,2022-04-23,205
K02000001,United Kingdom,overview,2022-04-22,216
K02000001,United Kingdom,overview,2022-04-21,209
K02000001,United Kingdom,overview,2022-04-20,237
K02000001,United Kingdom,overview,2022-04-19,204
K02000001,United Kingdom,overview,2022-04-18,250
K02000001,United Kingdom,overview,2022-04-17,253
K02000001,United Kingdom,overview,2022-04-16,255
K02000001,United Kingdom,overview,2022-04-15,250
K02000001,United Kingdom,overview,2022-04-14,271
K02000001,United Kingdom,overview,2022-04-13,291
K02000001,United Kingdom,overview,2022-04-12,281
K02000001,United Kingdom,overview,2022-04-11,260
K02000001,United Kingdom,overview,2022-04-10,283
K02000001,United Kingdom,overview,2022-04-09,262
K02000001,United Kingdom,overview,2022-04-08,303
K02000001,United Kingdom,overview,2022-04-07,290
K02000001,United Kingdom,overview,2022-04-06,273
K02000001,United Kingdom,overview,2022-04-05,269
K02000001,United Kingdom,overview,2022-04-04,253
K02000001,United Kingdom,overview,2022-04-03,265
K02000001,United Kingdom,overview,2022-04-02,279
K02000001,United Kingdom,overview,2022-04-01,256
K02000001,United Kingdom,overview,2022-03-31,263
K02000001,United Kingdom,overview,2022-03-30,245
K02000001,United Kingdom,overview,2022-03-29,245
K02000001,United Kingdom,overview,2022-03-28,229
K02000001,United Kingdom,overview,2022-03-27,228
