areaCode,areaName,areaType,date,newWeeklyNsoDeathsByRegDate
E92000001,England,nation,2022-06-10,271
E92000001,England,nation,2022-06-03,174
E92000001,England,nation,2022-05-27,377
E92000001,England,nation,2022-05-20,528
E92000001,England,nation,2022-05-13,674
E92000001,England,nation,2022-05-06,690
E92000001,England,nation,2022-04-29,1056
E92000001,England,nation,2022-04-22,970
E92000001,England,nation,2022-04-15,951
E92000001,England,nation,2022-04-08,903
E92000001,England,nation,2022-04-01,789
E92000001,England,nation,2022-03-25,734
E92000001,England,nation,2022-03-18,650
E92000001,England,nation,2022-03-11,628
E92000001,England,nation,2022-03-04,621
E92000001,England,nation,2022-02-25,722
E92000001,England,nation,2022-02-18,814
E92000001,England,nation,2022-02-11,1025
E92000001,England,nation,2022-02-04,1162
E92000001,England,nation,2022-01-28,1323
E92000001,England,nation,2022-01-21,1378
E92000001,England,nation,2022-01-14,1308
E92000001,England,nation,2022-01-07,857
E92000001,England,nation,2021-12-31,557
E92000001,England,nation,2021-12-24,797
E92000001,England,nation,2021-12-17,702
E92000001,England,nation,2021-12-10,708
E92000001,England,nation,2021-12-03,729
E92000001,England,nation,2021-11-26,738
E92000001,England,nation,2021-11-19,865
E92000001,England,nation,2021-11-12,943
E92000001,England,nation,2021-11-05,892
E92000001,England,nation,2021-10-29,777
E92000001,England,nation,2021-10-22,708
E92000001,England,nation,2021-10-15,640
E92000001,England,nation,2021-10-08,582
E92000001,England,nation,2021-10-01,715
E92000001,England,nation,2021-09-24,799
E92000001,England,nation,2021-09-17,783
E92000001,England,nation,2021-09-10,786
E92000001,England,nation,2021-09-03,632
E92000001,England,nation,2021-08-27,649
E92000001,England,nation,2021-08-20,551
E92000001,England,nation,2021-08-13,550
E92000001,England,nation,2021-08-06,502
E92000001,England,nation,2021-07-30,389
E92000001,England,nation,2021-07-23,308
E92000001,England,nation,2021-07-16,213
E92000001,England,nation,2021-07-09,176
E92000001,England,nation,2021-07-02,106
E92000001,England,nation,2021-06-25,97
E92000001,England,nation,2021-06-18,102
E92000001,England,nation,2021-06-11,83
E92000001,England,nation,2021-06-04,96
E92000001,England,nation,2021-05-28,92
E92000001,England,nation,2021-05-21,100
E92000001,England,nation,2021-05-14,145
E92000001,England,nation,2021-05-07,124
E92000001,England,nation,2021-04-30,198
E92000001,England,nation,2021-04-23,244
E92000001,England,nation,2021-04-16,346
E92000001,England,nation,2021-04-09,360
E92000001,England,nation,2021-04-02,385
E92000001,England,nation,2021-03-26,687
E92000001,England,nation,2021-03-19,912
E92000001,England,nation,2021-03-12,1428
E92000001,England,nation,2021-03-05,1994
E92000001,England,nation,2021-02-26,2772
E92000001,England,nation,2021-02-19,3891
E92000001,England,nation,2021-02-12,5464
E92000001,England,nation,2021-02-05,6990
E92000001,England,nation,2021-01-29,8063
E92000001,England,nation,2021-01-22,7956
E92000001,England,nation,2021-01-15,6767
E92000001,England,nation,2021-01-08,5597
E92000001,England,nation,2021-01-01,2831
E92000001,England,nation,2020-12-25,2631
E92000001,England,nation,2020-12-18,2729
E92000001,England,nation,2020-12-11,2530
E92000001,England,nation,2020-12-04,2623
E92000001,England,nation,2020-11-27,2820
E92000001,England,nation,2020-11-20,2471
E92000001,England,nation,2020-11-13,2274
E92000001,England,nation,2020-11-06,1771
E92000001,England,nation,2020-10-30,1258
E92000001,England,nation,2020-10-23,913
E92000001,England,nation,2020-10-16,622
E92000001,England,nation,2020-10-09,401
E92000001,England,nation,2020-10-02,296
E92000001,England,nation,2020-09-25,203
E92000001,England,nation,2020-09-18,134
E92000001,England,nation,2020-09-11,97
E92000001,England,nation,2020-09-04,74
E92000001,England,nation,2020-08-28,97
E92000001,England,nation,2020-08-21,126
E92000001,England,nation,2020-08-14,125
E92000001,England,nation,2020-08-07,128
E92000001,England,nation,2020-07-31,183
E92000001,England,nation,2020-07-24,209
E92000001,England,nation,2020-07-17,284
E92000001,England,nation,2020-07-10,344
